Data da Busca,Categoria,Produto,Preço,Loja
19/03/2026,cimento 50kg,Cimento CP II F 32 Todas as Obras 50kg Votoran,"34,90",Leroy Merlin
19/03/2026,cimento 50kg,Cimento Itaú Todas as Obras 50kg Votoran,"36,90",Leroy Merlin
19/03/2026,cimento 50kg,Cimento CPII Uso Geral Cinza 50kg,"33,90",Leroy Merlin
19/03/2026,areia média saco,Areia Média Lavada Saco De 20Kg,"4,99",Leroy Merlin
19/03/2026,areia média saco,Areia Média Lavada Saco 20kg Grupo Tomino,"4,99",Leroy Merlin
19/03/2026,areia média saco,Areia Média Saco de 20Kg Jupe,"5,90",Leroy Merlin
